question_id,event_type,missing_year,year_bucket,n_context,has_same_person,popularity_bucket,correct_candidate_id,point_prediction,is_correct,in_top2,p_correct,rank_correct,chosen_distractor_type,set_0.80,size_0.80,cover_0.80,set_0.90,size_0.90,cover_0.90,set_0.95,size_0.95,cover_0.95
Q18687923_2012_P166,award,2012,2010+,4,True,Q2,F,E,False,False,0.1608,4,same_type_near_year,B|C|E,3,False,A|B|C|E|F,5,True,A|B|C|D|E|F,6,True
Q4444966_1917_P108,employment,1917,<1950,4,True,Q2,F,C,False,False,0.1589,6,same_person_wrong_time,A|C|E,3,False,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q6168998_1999_P69,education,1999,1990-2009,3,True,Q1_low,D,B,False,False,0.1633,5,same_type_random,A|B|C|D|E,5,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q1392426_1998_P166,award,1998,1990-2009,4,True,Q3,F,B,False,True,0.1684,2,label_similar_same_type,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q42786_1987_P166,award,1987,1950-1989,4,True,Q3,D,C,False,True,0.1757,2,same_type_near_year,B|C|D|F,4,True,B|C|D|E|F,5,True,B|C|D|E|F,5,True
Q17714_1982_P166,award,1982,1950-1989,4,True,Q4_high,A,C,False,True,0.1874,2,same_person_wrong_time,A|C|F,3,True,A|C|D|F,4,True,A|C|D|F,4,True
Q116966_1932_P108,employment,1932,<1950,4,True,Q2,A,C,False,False,0.1554,5,same_type_random,C|D|E|F,4,False,C|D|E|F,4,False,A|B|C|D|E|F,6,True
Q312495_1950_P166,award,1950,1950-1989,4,True,Q4_high,E,E,True,True,0.1754,1,,A|C|E|F,4,True,A|C|E|F,4,True,A|B|C|D|E|F,6,True
Q126107514_2016_P108,employment,2016,2010+,4,True,Q1_low,C,F,False,True,0.1672,1,same_person_wrong_time,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q655494_1967_P166,award,1967,1950-1989,4,True,Q4_high,D,D,True,True,0.1826,1,,A|B|C|D,4,True,A|B|C|D,4,True,A|B|C|D|E,5,True
Q1285801_1982_P166,award,1982,1950-1989,3,True,Q1_low,D,E,False,False,0.1645,4,same_type_near_year,A|C|D|E|F,5,True,A|C|D|E|F,5,True,A|C|D|E|F,5,True
Q2032993_1939_P39,position,1939,<1950,4,True,Q2,D,A,False,False,0.1605,4,same_type_random,A|C|F,3,False,A|C|D|E|F,5,True,A|B|C|D|E|F,6,True
Q7382846_2008_P108,employment,2008,1990-2009,4,True,Q2,B,C,False,True,0.169,2,same_person_wrong_time,B|C|D|E|F,5,True,B|C|D|E|F,5,True,B|C|D|E|F,5,True
Q3813688_1941_P39,position,1941,<1950,4,True,Q3,D,C,False,False,0.1773,3,same_type_near_year,C|D|E|F,4,True,A|C|D|E|F,5,True,A|C|D|E|F,5,True
Q974542_1916_P166,award,1916,<1950,4,True,Q4_high,B,B,True,True,0.1713,1,,A|B|C|D|F,5,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q3209143_1979_P108,employment,1979,1950-1989,4,True,Q1_low,A,C,False,False,0.1541,5,same_person_wrong_time,C|D,2,False,B|C|D|F,4,False,A|B|C|D|E|F,6,True
Q27583547_1998_P108,employment,1998,1990-2009,4,True,Q4_high,B,F,False,True,0.1692,2,same_type_random,B|C|E|F,4,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q41044400_1990_P69,education,1990,1990-2009,3,True,Q1_low,B,F,False,False,0.1534,5,same_type_random,F,1,False,F,1,False,A|B|C|D|E|F,6,True
Q229369_2002_P166,award,2002,1990-2009,4,True,Q2,C,C,True,True,0.1743,1,,A|B|C|E|F,5,True,A|B|C|E|F,5,True,A|B|C|D|E|F,6,True
Q34004355_1999_P108,employment,1999,1990-2009,4,True,Q1_low,E,C,False,False,0.1711,3,same_person_wrong_time,B|C|E,3,True,A|B|C|D|E,5,True,A|B|C|D|E|F,6,True
Q4588965_1896_P166,award,1896,<1950,3,True,Q3,C,E,False,False,0.1789,3,label_similar_same_type,C|E|F,3,True,B|C|E|F,4,True,A|B|C|E|F,5,True
Q765165_1957_P39,position,1957,1950-1989,4,True,Q4_high,B,E,False,True,0.1834,2,same_type_near_year,A|B|E,3,True,A|B|E|F,4,True,A|B|E|F,4,True
Q77734_2005_P166,award,2005,1990-2009,4,True,Q4_high,A,E,False,False,0.1678,3,same_type_random,A|C|E|F,4,True,A|C|E|F,4,True,A|C|D|E|F,5,True
Q18391_2011_P166,award,2011,2010+,3,True,Q3,D,A,False,False,0.1602,4,same_type_near_year,A|C|F,3,False,A|C|D|E|F,5,True,A|B|C|D|E|F,6,True
Q6698469_2017_P39,position,2017,2010+,4,True,Q2,E,E,True,True,0.1769,1,,A|C|D|E,4,True,A|C|D|E|F,5,True,A|B|C|D|E|F,6,True
Q89500455_1988_P108,employment,1988,1950-1989,4,True,Q3,A,E,False,False,0.1544,5,same_person_wrong_time,D|E,2,False,B|C|D|E,4,False,A|B|C|D|E,5,True
Q39829_2007_P166,award,2007,1990-2009,4,True,Q4_high,C,E,False,False,0.1664,3,same_person_wrong_time,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q61766928_2004_P69,education,2004,1990-2009,3,True,Q1_low,D,D,True,True,0.1872,1,,A|C|D|F,4,True,A|C|D|E|F,5,True,A|B|C|D|E|F,6,True
Q164346_1970_P166,award,1970,1950-1989,4,True,Q3,D,F,False,False,0.169,3,label_similar_same_type,B|D|F,3,True,B|C|D|E|F,5,True,A|B|C|D|E|F,6,True
Q16002758_1997_P108,employment,1997,1990-2009,3,True,Q1_low,F,C,False,False,0.1529,6,same_type_near_year,A|B|C|D,4,False,A|B|C|D,4,False,A|B|C|D|E|F,6,True
Q1399304_1993_P39,position,1993,1990-2009,3,True,Q2,E,E,True,True,0.1858,1,,B|E|F,3,True,B|C|D|E|F,5,True,B|C|D|E|F,5,True
Q105005_1922_P108,employment,1922,<1950,4,True,Q1_low,B,E,False,False,0.1655,5,same_type_random,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q43108019_1996_P69,education,1996,1990-2009,4,True,Q1_low,C,B,False,False,0.1586,6,same_type_near_year,A|B|E|F,4,False,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q119796829_1997_P108,employment,1997,1990-2009,4,True,Q1_low,E,A,False,False,0.1517,6,same_type_near_year,A|B|D|F,4,False,A|B|D|F,4,False,A|B|C|D|E|F,6,True
Q334282_1955_P39,position,1955,1950-1989,4,True,Q2,A,C,False,True,0.1728,2,same_person_wrong_time,A|B|C|F,4,True,A|B|C|F,4,True,A|B|C|D|F,5,True
Q18113714_1971_P69,education,1971,1950-1989,3,True,Q1_low,D,A,False,True,0.1764,2,label_similar_same_type,A|B|D,3,True,A|B|D|E|F,5,True,A|B|C|D|E|F,6,True
Q22097390_2014_P108,employment,2014,2010+,4,True,Q1_low,C,F,False,False,0.1674,3,same_type_random,A|B|C|E|F,5,True,A|B|C|E|F,5,True,A|B|C|D|E|F,6,True
Q4834189_1979_P108,employment,1979,1950-1989,3,True,Q1_low,F,B,False,False,0.163,5,same_type_near_year,A|B|C|E|F,5,True,A|B|C|E|F,5,True,A|B|C|D|E|F,6,True
Q115913982_2010_P108,employment,2010,2010+,4,True,Q1_low,F,B,False,True,0.1691,2,label_similar_same_type,B|C|D|E|F,5,True,B|C|D|E|F,5,True,A|B|C|D|E|F,6,True
Q197996_1947_P69,education,1947,<1950,4,True,Q1_low,C,D,False,False,0.1653,3,same_type_near_year,A|B|C|D|E,5,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q329789_1909_P39,position,1909,<1950,4,True,Q2,A,D,False,False,0.1651,5,same_type_near_year,A|B|C|D|E,5,True,A|B|C|D|E,5,True,A|B|C|D|E,5,True
Q365209_1967_P39,position,1967,1950-1989,4,True,Q2,A,F,False,False,0.1554,6,same_type_random,F,1,False,B|C|D|E|F,5,False,A|B|C|D|E|F,6,True
Q77774_2013_P166,award,2013,2010+,4,True,Q3,B,D,False,True,0.1734,2,same_person_wrong_time,A|B|C|D,4,True,A|B|C|D|F,5,True,A|B|C|D|E|F,6,True
Q328131_2002_P166,award,2002,1990-2009,4,True,Q4_high,B,E,False,False,0.1667,3,same_type_near_year,A|B|E|F,4,True,A|B|C|E|F,5,True,A|B|C|E|F,5,True
Q56099781_2016_P166,award,2016,2010+,3,True,Q2,E,A,False,False,0.1683,3,same_person_wrong_time,A|B|E|F,4,True,A|B|D|E|F,5,True,A|B|C|D|E|F,6,True
Q132899_1921_P39,position,1921,<1950,4,True,Q3,E,C,False,False,0.1671,5,same_person_wrong_time,A|B|C|E|F,5,True,A|B|C|E|F,5,True,A|B|C|E|F,5,True
Q58978_1950_P166,award,1950,1950-1989,4,True,Q3,A,C,False,False,0.1655,3,same_type_random,A|C|D|F,4,True,A|C|D|F,4,True,A|C|D|F,4,True
Q1390688_1994_P39,position,1994,1990-2009,4,True,Q2,C,E,False,True,0.1711,2,same_type_random,A|B|C|E|F,5,True,A|B|C|E|F,5,True,A|B|C|E|F,5,True
Q97695_2018_P39,position,2018,2010+,4,True,Q3,D,D,True,True,0.1716,2,,A|B|C|D,4,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q58321158_1942_P108,employment,1942,<1950,4,True,Q1_low,D,B,False,True,0.1833,2,label_similar_same_type,B|D|E,3,True,A|B|D|E,4,True,A|B|D|E|F,5,True
Q1655204_2004_P39,position,2004,1990-2009,4,True,Q2,F,A,False,True,0.1751,2,same_person_wrong_time,A|E|F,3,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q19848_2012_P166,award,2012,2010+,4,True,Q4_high,A,B,False,False,0.1612,4,same_type_random,B|C|F,3,False,A|B|C|E|F,5,True,A|B|C|D|E|F,6,True
Q7916327_2010_P108,employment,2010,2010+,4,True,Q2,C,A,False,False,0.1616,4,same_type_near_year,A|E|F,3,False,A|B|C|E|F,5,True,A|B|C|E|F,5,True
Q48048_1953_P166,award,1953,1950-1989,4,True,Q4_high,E,C,False,True,0.1732,2,same_person_wrong_time,A|C|E,3,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q580464_2016_P39,position,2016,2010+,4,True,Q2,C,D,False,False,0.1637,5,same_type_random,A|C|D|E|F,5,True,A|C|D|E|F,5,True,A|C|D|E|F,5,True
Q560949_1906_P39,position,1906,<1950,4,True,Q3,E,E,True,True,0.1793,1,,B|D|E|F,4,True,A|B|D|E|F,5,True,A|B|C|D|E|F,6,True
Q103917_1990_P166,award,1990,1990-2009,3,True,Q2,B,A,False,False,0.1682,3,same_type_near_year,A|B|C|F,4,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q467796_2007_P166,award,2007,1990-2009,3,True,Q1_low,F,E,False,False,0.1628,5,same_type_near_year,A|B|E,3,False,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q128245_1967_P166,award,1967,1950-1989,4,True,Q3,A,D,False,False,0.1645,3,same_type_random,A|B|D,3,True,A|B|D|E|F,5,True,A|B|C|D|E|F,6,True
Q171166_2018_P166,award,2018,2010+,3,True,Q4_high,F,D,False,False,0.1549,4,same_type_near_year,D|E,2,False,D|E,2,False,A|B|D|E|F,5,True
