question_id,ground_truth_valid,hidden_event_not_leaked,candidates_unique,distractors_plausible,multiple_possible_answers,timeline_coherent,reviewer_notes
Q333582_1970_P39,PASS,PASS,PASS,PASS,NO,PASS,Shinwell 1970年离开下院获封终身贵族入上议院，史实吻合且与1966年议员、1965年CH协调；干扰项多为英国职位可信，仅意大利国防部长一项显假；本人错时项矿务大臣(1924/1930年代)区间不覆盖1970。
Q372026_1981_P166,PASS,PASS,PASS,PASS,POSSIBLE,PASS,苏联部长会议奖1981年与该苏联数学家时间线协调(无法外部核实具体年份但讲得通)；D本人错时'十月革命勋章'为点事件无P582区间可约束，1981年恰逢其75整寿(苏式勋章常按整寿授)也说得通，记POSSIBLE；A(美国参议员奖)与C(奥斯卡改编剧本奖)一眼假。
Q17484147_2003_P108,PASS,PASS,PASS,PASS,NO,PASS,2003年入职Cranfield与2001 QMUL→2015 Strathclyde的学术轨迹衔接自然；Europe 1法国电台作学者雇主显假，F本人错时(2003年再就读NTUA)与已任教职矛盾不成立，其余雇主表面可信。
Q381681_1959_P39,PASS,PASS,PASS,WEAK,NO,PASS,"Lynch 1959年确实出任爱尔兰工商部长(Wikidata以现名'Minister for Enterprise, Trade and Employment'记录，标签有年代错置感但职位谱系正确)；但5个干扰中比利时/法国/捷克3个外国议会席位对全爱尔兰时间线一眼假，过半；D北爱同名职位与正确项仅Employment/Investment一词之差属好干扰；C本人错时Taoiseach区间(1966起)不覆盖1959合法。"
Q5112183_1993_P108,PASS,PASS,PASS,PASS,NO,PASS,1993年入职York大学与1992年多伦多大学任职衔接合理(该心理学史学者确长期任教York)；1998年再度就读多伦多略怪但不自相矛盾；C(Antwerp '93文化活动)与E(名古屋放送)作雇主显假，D纽约大学与York标签近似属好干扰。
Q37840153_2002_P108,PASS,PASS,PASS,PASS,NO,PASS,2002年Strathclyde处于2000哈萨克国立大学→2004曼彻斯特之间，符合博士后流动轨迹；5干扰中4个为真实大学表面可信，仅radiOrakel挪威电台一项显假。
Q725806_1965_P166,PASS,PASS,PASS,PASS,NO,PASS,Borůvka 1965年获捷克斯洛伐克劳动勋章与捷克文献记载相符，处于1959国家奖→1969荣誉博士之间协调；D(Harvey漫画字体奖)一眼假，A本人错时为教育类事件且66岁高龄再入军校不合理，F/E/C表面可信。
Q455293_1984_P39,PASS,PASS,PASS,PASS,NO,PASS,Mavros 1984年当选欧洲议会议员符合1984年6月欧洲选举史实；C泰国教育部长与E德国联邦宪法法院法官对希腊时间线显假，D本人错时'协调部长'该职1982年已撤销不成立，F欧洲议会议长与正确项标签近似属好干扰。
Q656642_1907_P69,PASS,PASS,PASS,PASS,NO,PASS,1907年慕尼黑大学处于1906克拉科夫→1910哥廷根之间，符合Mazurkiewicz多校游学的传记记载；A本人错时(华沙大学任职始于1915)区间不覆盖1907；圣保罗大学1934年才建校为隐性年代硬伤但表面不显；维尔茨堡医学部对数学家略偏仍可信。
Q40628_1993_P39,PASS,PASS,PASS,WEAK,NO,PASS,Baldwin 1993年1月就任威斯康星州众议员史实确认，与1986县委员→1999联邦众议员衔接；但瑞典外长/萨拉戈萨市长/英国工党领袖3项外国职位对全美国时间线一眼假，过半；E本人错时参议员(2013起)区间不覆盖1993合法，C加州州众议员为好干扰。
